Study_Hours,Sleep_Hours,Attendance,Assignment,Result
1,6,81,12,58.25
7,4,85,9,66.05
8,4,82,15,79.7
10,9,50,7,76.4
7,10,59,11,78.35
6,9,58,7,58.2
5,10,76,6,62.3
8,9,79,3,68.75
2,9,73,17,66.45
7,6,89,0,65.65
1,4,79,17,55.55
7,5,79,1,59.85
8,6,75,8,72.85
3,10,55,15,61.75
1,5,95,0,45.25
2,6,70,12,58.9
2,9,94,16,70.6
3,7,75,16,66.45
3,8,70,20,66
1,5,77,8,48.55
1,7,75,7,52.65
6,7,89,5,65.65
9,5,65,15,77.75
7,10,50,12,76.4
6,4,63,7,61.45
1,9,99,8,56.25
9,7,71,6,79.05
7,8,100,6,74.7
7,8,98,14,90.6
10,9,50,4,75.8
6,9,74,13,72
8,7,78,4,75.6
1,9,70,16,59.7
10,8,86,6,80.3
9,6,97,1,70.65
8,7,82,18,90.8
5,7,85,5,59.75
3,8,57,12,57.85
8,8,66,7,67.5
3,6,91,8,55.95
5,7,86,8,66.7
2,10,66,18,69.7
4,7,54,3,51
3,4,98,6,54
1,8,53,17,55.45
8,5,80,4,67.3
5,9,82,2,65.1
6,5,81,9,67.65
5,8,85,9,71.05
8,4,80,4,68.8
7,6,52,13,69.3
9,7,53,12,71.95
1,10,51,0,32.35
4,7,82,20,77.2
2,7,64,8,53.5
2,4,95,19,68.05
4,10,69,8,62.75
7,10,60,13,77.1
5,8,89,12,79.05
5,6,56,17,68.5
4,5,100,11,74.7
3,6,67,13,53.55
7,4,76,13,73.7
6,4,84,19,81.2
6,6,58,13,60.9
3,10,52,11,60.9
8,5,55,10,70.75
6,8,92,1,62.4
6,8,90,17,83.9
4,8,77,7,61.35
5,9,99,5,70.65
10,4,61,11,78.55
2,8,53,11,49.75
3,10,73,11,66.25
7,9,61,4,61.15
4,9,74,19,77.2
3,9,61,9,54.15
10,7,61,13,80.45
3,8,71,2,48.75
3,4,98,14,63.6
1,4,64,10,47.9
3,10,60,13,57.1
5,6,74,8,59
4,7,70,18,65.6
7,8,62,1,64.4
7,6,86,17,89
9,9,77,15,90.95
5,6,54,16,66.6
5,10,76,13,69.7
4,6,86,17,77.5
1,4,98,15,66.8
2,10,69,6,56.35
4,5,68,4,53.1
2,7,66,15,56.6
8,7,56,18,78.7
5,6,57,8,54.05
7,10,81,12,81.25
7,10,63,12,74.95
2,10,69,14,57.95
4,5,95,2,52.15
3,7,86,13,63.7
6,6,80,18,81.6
5,7,84,16,76.6
1,9,71,13,61.45
6,6,75,13,66.85
5,6,74,18,70
2,7,59,16,62.35
3,10,84,19,75.7
8,6,57,10,71.95
7,5,79,1,58.85
4,9,95,13,73.35
10,8,96,9,93.4
2,9,64,17,61.3
2,8,78,19,73.1
1,4,66,18,51.2
2,7,69,20,65.65
8,4,93,6,76.75
2,5,77,14,59.25
10,9,81,11,94.05
4,5,55,18,61.35
3,9,53,6,44.75
8,7,70,12,76.4
1,10,50,5,41
8,8,64,11,73.6
8,9,53,16,74.25
4,10,90,17,79.9
8,8,79,15,82.65
3,6,66,7,47
5,9,52,1,48.4
7,7,83,16,87.25
10,10,98,2,81.7
3,5,62,20,63.7
2,8,85,7,53.15
2,6,69,5,42.15
1,4,69,2,41.05
2,5,74,8,48
4,8,52,18,68.8
9,5,82,20,93.7
1,9,95,11,59.45
9,7,88,4,73.6
7,8,100,2,75.9
1,7,77,3,49.55
6,10,91,0,68.85
1,6,85,7,55.65
10,8,68,14,85.6
10,4,61,15,83.35
4,8,93,8,71.15
4,10,76,11,65.8
1,4,68,2,33.7
9,7,54,5,68.9
2,8,94,2,50.3
3,6,84,0,48.9
7,8,79,0,66.15
3,6,97,11,65.65
8,4,55,18,78.85
9,4,90,6,75.2
7,10,57,18,84.05
6,6,54,0,43.9
7,9,80,10,74
4,6,60,4,44.8
6,9,96,2,68.5
4,9,96,3,59.7
2,9,72,9,52.5
6,10,73,8,71.15
6,5,67,19,73.75
8,4,88,15,78.8
7,4,100,12,83.9
7,9,95,8,84.85
3,7,69,6,51.35
4,8,98,1,57.5
9,9,72,12,88.6
2,8,87,4,49.25
9,8,57,11,73.65
6,8,97,13,83.55
6,6,57,17,66.35
2,8,85,1,49.95
8,9,67,15,83.95
5,6,60,6,59.7
6,4,85,17,73.15
2,7,63,19,57.35
3,7,60,17,64.4
10,8,79,11,89.85
8,10,65,9,73.55
7,4,99,15,85.15
10,4,81,5,77.35
9,10,83,14,90.35
7,5,85,4,70.55
6,10,96,10,82.6
8,9,95,5,80.75
8,7,96,20,97.1
9,10,83,10,90.55
10,6,59,9,77.45
4,6,99,11,69.85
10,9,71,20,95.35
1,7,89,1,50.35
9,8,99,19,100
3,8,61,11,60.05
10,7,100,20,100
2,7,56,14,49.9
6,7,55,6,59.95
7,5,65,3,63.35
3,7,97,17,79.35
6,7,60,8,59.1
7,6,54,6,59.6
9,7,59,0,57.65
10,6,84,7,79.8
1,9,67,7,43.85
1,4,60,2,32.9
10,7,95,14,100
1,5,94,2,43.3
5,5,67,10,56.45
5,8,86,3,66.2
2,6,52,11,47.4
2,9,62,10,57.2
3,6,75,19,63.55
8,4,96,4,70.4
8,6,88,14,85.6
2,10,72,13,61.8
8,7,63,6,64.75
1,10,52,17,60.1
2,10,72,3,55.8
8,4,78,20,86.3
4,9,80,10,72.5
4,6,71,6,52.05
1,6,58,5,36.8
4,6,100,10,68
8,4,75,5,63.25
4,8,52,10,55.2
3,10,73,5,53.05
4,9,94,16,76.6
3,4,76,11,54.3
5,7,88,16,78
4,7,100,14,76.3
10,6,60,20,94
5,7,91,2,66.25
7,7,55,17,78.65
4,4,84,0,44.4
4,6,85,5,60.75
2,10,96,5,63.6
4,9,84,14,71.7
6,10,85,5,66.75
8,4,80,17,86.4
2,4,82,1,43.9
9,4,93,18,96.65
6,9,52,12,70.1
10,4,61,20,90.35
7,5,50,19,75.3
6,7,94,16,84.6
8,8,62,7,69.1
10,9,87,1,76.15
2,7,98,5,52.8
9,8,92,8,90.3
7,4,58,3,51.4
6,4,55,10,58.25
4,8,99,11,75.85
8,7,97,5,80.45
8,5,51,12,67.75
2,9,57,7,46.85
7,5,62,1,55.9
9,7,89,10,89.15
9,8,67,15,85.95
3,8,64,5,49.9
4,8,56,16,60.8
3,9,98,11,74.5
9,5,100,2,72.4
4,6,61,0,45.35
2,10,80,7,59.4
7,6,75,7,64.15
4,7,90,0,51
1,9,62,9,47.5
5,4,82,15,67.2
4,8,65,9,54.55
9,5,83,5,78.05
3,9,97,1,57.15
6,8,93,3,72.15
6,7,62,15,66.2
6,7,90,0,64
5,10,77,4,67.25
6,7,76,18,79.7
5,6,58,19,68.6
7,4,76,12,74.5
9,7,81,2,68.75
9,8,52,19,84.5
7,9,65,0,57.75
9,5,62,17,86.1
2,5,77,10,53.45
7,5,96,8,72.2
10,9,68,6,75.5
7,6,71,7,68.75
5,9,100,18,92.6
8,8,56,11,71.8
9,8,93,3,80.65
10,9,89,7,90.05
7,10,72,6,71.9
2,6,77,14,55.75
10,6,51,6,71.05
9,6,86,18,96.2
3,4,54,8,47
2,5,57,3,40.05
7,9,62,14,74.5
5,5,66,18,68.7
4,4,69,17,64.55
5,5,60,15,61
7,8,74,11,80.6
3,8,98,10,68.8
1,10,76,9,51.9
3,4,52,9,43.5
9,7,78,10,78.3
2,9,89,14,64.45
2,5,58,2,33.2
9,5,53,11,72.75
2,4,68,16,52
7,5,84,2,63.8
1,10,92,11,63.9
2,6,96,15,63.6
9,10,91,3,80.95
8,10,63,1,61.25
6,8,83,15,79.05
1,8,82,11,60.4
7,5,92,3,65.8
1,8,64,0,39.9
3,7,82,13,61.3
4,5,89,14,73.45
3,9,79,18,70.25
6,7,80,7,65.9
6,7,99,1,63.35
3,6,74,1,50.6
2,10,59,20,66.65
8,7,55,6,68.95
8,9,92,6,85.9
4,9,56,20,73.1
2,9,99,13,70.75
8,6,65,8,65.35
3,10,90,12,71.4
7,6,67,14,78.75
3,6,78,4,52.6
5,8,92,6,71.9
10,5,53,1,59.25
2,5,54,3,41
4,6,88,18,78.4
4,9,94,11,71.6
9,9,66,17,92.5
6,6,98,5,67.3
8,10,83,2,79.45
9,8,78,0,72.8
7,4,86,13,73.2
4,5,91,5,63.35
8,7,99,5,75.15
10,9,71,9,81.15
2,5,73,19,59.85
4,7,67,13,67.55
4,10,73,6,66.75
4,8,75,12,67.65
7,10,87,6,78.15
8,6,51,16,77.05
8,5,75,18,79.35
5,9,70,11,73.7
9,6,53,16,77.25
8,4,85,16,87.95
1,9,99,4,60.45
7,9,58,3,66.9
9,6,64,7,73.3
10,5,59,16,87.35
6,10,78,12,73.7
3,8,96,12,73.5
1,10,61,10,56.85
4,4,89,14,70.95
10,6,84,5,74.4
3,7,72,10,55.2
2,7,64,9,53.7
9,6,55,3,62.35
1,5,98,13,55.9
8,5,94,12,87.8
1,10,92,0,54.7
10,5,92,1,73.9
4,5,68,17,65.7
10,5,69,2,68.05
10,5,60,3,71.1
4,10,82,0,58.7
1,4,60,2,30.9
1,9,59,20,66.65
2,6,99,11,60.85
9,6,92,0,67.7
9,6,70,9,79.8
8,5,95,12,84.15
10,5,63,16,84.75
4,10,87,20,85.45
9,8,53,13,81.65
6,9,98,12,88.2
10,8,76,8,87.2
5,6,54,11,62.6
4,7,91,12,65.75
4,10,65,10,59.75
10,10,70,13,85.1
10,5,65,6,72.45
1,7,79,3,49.25
5,8,56,5,55.1
8,9,93,10,91.05
9,6,80,4,69.3
3,5,74,16,67.1
8,4,57,5,61.95
3,10,63,2,44.95
5,10,71,19,79.15
1,9,69,4,47.95
3,6,71,1,44.55
10,10,76,16,94.8
4,8,65,4,58.55
7,7,93,13,84.15
5,4,97,11,65.65
6,8,60,2,61.4
10,10,97,9,90.75
6,6,52,12,66.6
2,5,54,15,56.4
2,8,74,5,55.9
1,5,65,15,53.75
7,7,73,14,81.35
10,9,59,1,72.35
4,6,80,20,74
6,7,55,2,53.15
8,9,76,16,91.3
1,5,82,11,53.9
6,10,50,0,57.5
9,9,90,5,79.5
5,4,81,15,69.85
4,10,84,13,72
6,9,68,0,53.3
4,5,78,1,52
8,4,52,2,52.6
2,4,88,19,66.6
2,9,85,20,76.25
3,6,87,20,71.95
4,5,68,14,62.1
5,9,56,8,55.2
8,7,52,19,83.5
9,7,92,18,96.8
8,6,81,12,82.75
9,10,92,8,85.3
6,9,70,12,76.4
1,9,54,9,48.7
2,10,53,4,47.35
8,8,95,17,98.65
5,9,98,9,74.1
8,4,94,10,74.9
8,10,83,17,97.45
5,9,90,1,64.7
10,9,56,7,74.5
9,4,57,16,71.65
4,10,98,12,76.7
1,5,51,1,27.05
5,8,80,0,61.5
5,7,84,18,79
3,7,90,20,76.5
7,5,91,5,64.85
8,6,58,0,57.3
5,9,75,11,73.45
3,5,93,12,64.95
10,5,83,19,92.35
3,6,62,1,37.4
3,5,73,12,59.95
3,6,92,11,69.9
1,7,92,9,55
3,10,75,0,54.75
3,5,62,18,59.3
8,9,51,18,84.95
5,4,73,6,56.25
5,6,93,4,65.85
6,8,85,6,69.95
9,9,62,18,87.3
2,6,52,1,38.4
8,4,83,18,80.65
4,4,73,11,59.75
3,7,58,20,60.3
2,5,50,1,30.2
8,7,62,19,79
3,9,89,7,58.55
8,10,100,8,88.6
2,7,70,19,60.8
4,8,85,20,82.75
5,5,86,4,60.9
4,6,94,5,65.9
3,6,79,13,64.75
7,7,95,14,81.05
7,4,69,6,62.85
1,6,90,20,72
10,8,92,1,83.4
6,4,70,6,58.7
2,9,80,19,72.3
2,6,76,16,65.8
6,8,80,11,75.2
1,6,51,2,36.75
5,4,60,6,55.7
3,10,93,19,82.85
2,6,65,12,48.15
6,6,65,0,56.75
10,4,100,4,82.8
9,9,75,16,93.45
2,9,73,14,61.85
1,5,60,7,37.4
8,6,59,9,72.45
5,7,72,10,60.2
6,9,57,12,68.85
7,7,52,2,60.6
7,8,84,8,78.5
6,10,64,15,72.4
7,4,99,0,65.15
5,6,90,15,72
6,5,85,4,64.05
3,9,90,9,68.3
8,8,54,17,80.3
3,8,70,5,56
7,9,75,11,79.45
6,6,52,5,49.2
4,9,99,13,81.75
3,10,87,3,63.55
8,10,67,7,79.85
8,5,72,17,78.1
7,5,80,20,82
8,4,60,5,61
10,4,72,6,70.4
10,10,92,2,89.6
3,7,51,14,57.65
6,5,70,18,77.6
6,7,56,0,49.1
4,7,55,17,60.15
6,9,67,2,57.35
2,4,90,19,66.3
5,5,91,8,61.45
5,8,75,20,82.75
5,5,77,14,73.75
2,10,63,20,68.05
9,8,67,12,85.35
8,7,66,14,75.4
1,8,81,14,63.65
9,7,64,8,72
1,6,79,9,47.95
2,6,87,1,46.65
6,9,61,11,71.05
1,10,63,3,45.15
8,10,82,13,82.3
1,5,76,4,44.4
10,4,81,19,90.15
2,6,81,0,39.35
6,5,55,10,59.75
2,6,89,0,52.15
5,9,77,1,61.15
8,5,59,20,76.15
10,8,66,2,74.5
6,5,51,16,64.55
9,6,75,10,80.75
7,8,81,19,92.65
10,8,75,18,91.85
3,8,71,17,62.75
9,7,92,17,92.6
8,8,83,6,75.25
2,6,66,10,47.1
4,7,83,12,69.95
2,9,95,14,74.55
5,8,83,18,81.15
6,4,52,12,57.6
8,6,86,8,81.7
6,5,97,4,67.25
1,8,91,12,60.75
1,5,54,7,33.3
5,4,99,2,64.55
2,7,60,14,53.3
4,9,86,10,73.6
8,7,56,4,58.9
2,9,56,14,53.9
6,10,67,19,78.25
10,6,93,4,76.35
10,4,96,19,95.4
6,10,65,3,66.35
4,8,56,4,51.4
5,5,62,19,67.5
6,9,92,18,89.3
8,10,76,0,73.6
8,9,60,18,83.1
5,7,80,13,75.6
2,8,60,5,43
3,5,57,7,49.35
1,10,87,7,62.35
10,4,57,10,75.95
9,9,50,20,83.5
5,8,67,8,65.55
4,4,52,12,48.6
10,9,96,10,99.1
3,5,93,20,72.55
6,8,73,20,79.55
9,6,64,15,85.9
5,8,66,8,63.2
8,9,82,17,93.6
8,9,95,1,76.95
9,8,99,4,86.95
5,5,64,6,52.6
2,4,85,15,60.75
5,4,64,4,55.7
9,9,82,20,98.7
3,8,99,17,75.55
6,5,100,10,75.5
5,6,84,10,71.9
5,8,65,17,73.65
10,5,58,3,62.4
10,5,100,2,77.9
10,4,87,16,95.65
3,10,88,14,77.1
10,9,56,4,68.9
1,4,61,15,48.85
9,7,88,18,91.4
5,7,67,4,61.25
10,9,89,0,76.65
1,8,91,18,73.95
3,6,73,9,51.85
9,6,76,0,71.1
4,4,79,5,53.65
8,7,84,0,69.9
5,5,88,10,66.8
2,9,62,17,61.6
1,9,75,15,56.25
5,10,80,5,63.5
9,6,64,20,85.9
10,10,69,10,83.15
5,10,84,5,63.9
9,8,67,18,89.55
7,8,67,19,78.75
8,8,64,19,87.2
3,7,97,15,76.95
1,8,94,8,61
9,10,60,8,82.1
7,8,58,16,81
10,4,78,18,93.9
9,7,54,19,81.7
6,8,52,11,68.4
3,8,88,14,70.1
6,6,66,3,55.7
2,8,87,5,54.45
6,8,65,3,54.35
3,7,56,16,56.8
10,4,78,0,63.3
5,6,96,5,63.1
6,10,74,11,79.1
4,9,91,20,81.35
10,8,57,6,73.15
6,9,81,18,81.45
1,10,97,9,64.25
6,7,65,11,69.45
6,6,100,16,84.2
2,9,90,15,75
8,5,90,12,79.4
7,6,88,3,70.9
